"","Year","SurveyDate","BlockID","SiteID","Block","Site","FragSize","Hunted","ForestProp1km","FragRatio1km","PointID","Latitude","Longitude","PlantID","ScientificName","Genus","Species","Family","CommonName","ScatPiles","Plants","Browsed"
"1",2017,2017-04-10,"ST","FNM","Storrs","Fenton",194.728,"no",0.648,1.955,"ST_FNM_DP1",41.82618,-72.249107,NA,NA,NA,NA,NA,NA,0,0,0
"2",2017,2017-04-10,"ST","FNM","Storrs","Fenton",194.728,"no",0.648,1.955,"ST_FNM_DP2",41.825756,-72.248932,"BETXX","Betula","Betula","","Betulaceae","Birch",0,1,1
"3",2017,2017-04-10,"ST","FNM","Storrs","Fenton",194.728,"no",0.648,1.955,"ST_FNM_DP3",41.82523,-72.248734,NA,NA,NA,NA,NA,NA,0,0,0
"4",2017,2017-04-10,"ST","FNM","Storrs","Fenton",194.728,"no",0.648,1.955,"ST_FNM_DP4",41.824806,-72.248627,"QUEXX","Quercus","Quercus","","Fagaceae","Oak",0,1,1
"5",2017,2017-04-10,"ST","FNM","Storrs","Fenton",194.728,"no",0.648,1.955,"ST_FNM_DP4",41.824806,-72.248627,"FAGGR","Fagus grandifolia","Fagus","grandifolia","Fagaceae","American Beech",NA,1,1
"6",2017,2017-04-10,"ST","FNM","Storrs","Fenton",194.728,"no",0.648,1.955,"ST_FNM_DP5",41.824337,-72.248451,"QUEXX","Quercus","Quercus","","Fagaceae","Oak",1,1,0
"7",2017,2017-04-10,"ST","FNM","Storrs","Fenton",194.728,"no",0.648,1.955,"ST_FNM_DP6",41.82634,-72.248413,NA,NA,NA,NA,NA,NA,0,0,0
"8",2017,2017-04-10,"ST","FNM","Storrs","Fenton",194.728,"no",0.648,1.955,"ST_FNM_DP7",41.825848,-72.248337,"BETXX","Betula","Betula","","Betulaceae","Birch",3,1,0
"9",2017,2017-04-10,"ST","FNM","Storrs","Fenton",194.728,"no",0.648,1.955,"ST_FNM_DP8",41.825417,-72.248199,NA,NA,NA,NA,NA,NA,0,0,0
"10",2017,2017-04-10,"ST","FNM","Storrs","Fenton",194.728,"no",0.648,1.955,"ST_FNM_DP9",41.82502,-72.247986,"FAGGR","Fagus grandifolia","Fagus","grandifolia","Fagaceae","American Beech",0,6,3
"11",2017,2017-04-10,"ST","FNM","Storrs","Fenton",194.728,"no",0.648,1.955,"ST_FNM_DP10",41.824535,-72.247826,NA,NA,NA,NA,NA,NA,0,0,0
"12",2017,2017-04-10,"ST","FNM","Storrs","Fenton",194.728,"no",0.648,1.955,"ST_FNM_DP11",41.826305,-72.247803,"BETXX","Betula","Betula","","Betulaceae","Birch",1,1,0
"13",2017,2017-04-10,"ST","FNM","Storrs","Fenton",194.728,"no",0.648,1.955,"ST_FNM_DP12",41.825825,-72.247658,"BETXX","Betula","Betula","","Betulaceae","Birch",0,2,0
"14",2017,2017-04-10,"ST","FNM","Storrs","Fenton",194.728,"no",0.648,1.955,"ST_FNM_DP13",41.825401,-72.247597,NA,NA,NA,NA,NA,NA,0,0,0
"15",2017,2017-04-10,"ST","FNM","Storrs","Fenton",194.728,"no",0.648,1.955,"ST_FNM_DP14",41.824997,-72.247337,NA,NA,NA,NA,NA,NA,0,0,0
"16",2017,2017-04-10,"ST","FNM","Storrs","Fenton",194.728,"no",0.648,1.955,"ST_FNM_DP15",41.824577,-72.247261,NA,NA,NA,NA,NA,NA,0,0,0
"17",2017,2017-04-10,"ST","FNM","Storrs","Fenton",194.728,"no",0.648,1.955,"ST_FNM_DP16",41.826447,-72.247406,NA,NA,NA,NA,NA,NA,0,0,0
