"BlockID","SiteID","FragSize","SizeClass","ForestProp1km","FragRatio1km","ForestProp1kmRadius","FragRatio1kmRadius","Hunted","BrowseProb","ScatPredict","PointID","Latitude","Longitude","CornerFlagged","Year","SurveyDate","Tree","TreeGenus","TreeSpecies","TreeFamily","DBH","Height","Branches1_2m","Dead"
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_2",41.805695,-72.234322,NA,2017,2017-07-17,"Fagus grandifolia","Fagus","grandifolia","Fagaceae",6.3,NA,"yes",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_2",41.805695,-72.234322,NA,2017,2017-07-17,"Betula alleghaniensis","Betula","alleghaniensis","Betulaceae",48.15,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_2",41.805695,-72.234322,NA,2017,2017-07-17,"Betula lenta","Betula","lenta","Betulaceae",19.4,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_2",41.805695,-72.234322,NA,2017,2017-07-17,"Vaccinium corymbosum","Vaccinium","corymbosum","Ericaceae",NA,1.63,"yes",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_2",41.805695,-72.234322,NA,2017,2017-07-17,"Berberis thunbergii","Berberis","thunbergii","Berberidaceae",NA,1.08,"yes",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_2",41.805695,-72.234322,NA,2017,2017-07-17,"Berberis thunbergii","Berberis","thunbergii","Berberidaceae",NA,1.19,"yes",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_2",41.805695,-72.234322,NA,2017,2017-07-17,"Betula alleghaniensis","Betula","alleghaniensis","Betulaceae",14.75,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_1",41.805695,-72.234322,NA,2017,2017-07-17,"Fagus grandifolia","Fagus","grandifolia","Fagaceae",1,NA,"yes",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_1",41.805695,-72.234322,NA,2017,2017-07-17,"Fagus grandifolia","Fagus","grandifolia","Fagaceae",12.95,NA,"yes",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_1",41.805695,-72.234322,NA,2017,2017-07-17,"Acer saccharum","Acer","saccharum","Aceraceae",2.45,NA,"yes",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_1",41.805695,-72.234322,NA,2017,2017-07-17,"Betula lenta","Betula","lenta","Betulaceae",21.7,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_1",41.805695,-72.234322,NA,2017,2017-07-17,"Acer rubrum","Acer","rubrum","Aceraceae",3.05,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_1",41.805695,-72.234322,NA,2017,2017-07-17,"Tsuga canadensis","Tsuga","canadensis","Pinaceae",9,NA,"yes",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_1",41.805695,-72.234322,NA,2017,2017-07-17,"Fagus grandifolia","Fagus","grandifolia","Fagaceae",4.95,NA,"yes",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_1",41.805695,-72.234322,NA,2017,2017-07-17,"Fagus grandifolia","Fagus","grandifolia","Fagaceae",5.15,NA,"yes",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_1",41.805695,-72.234322,NA,2017,2017-07-17,"Fagus grandifolia","Fagus","grandifolia","Fagaceae",4.3,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_1",41.805695,-72.234322,NA,2017,2017-07-17,"Betula alleghaniensis","Betula","alleghaniensis","Betulaceae",8,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_1",41.805695,-72.234322,NA,2017,2017-07-17,"Fagus grandifolia","Fagus","grandifolia","Fagaceae",9.7,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_1",41.805695,-72.234322,NA,2017,2017-07-17,"Carpinus caroliniana","Carpinus","caroliniana","Betulaceae",2.45,NA,"yes",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_1",41.805695,-72.234322,NA,2017,2017-07-17,"Betula lenta","Betula","lenta","Betulaceae",4.1,NA,"yes",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_1",41.805695,-72.234322,NA,2017,2017-07-17,"Carpinus caroliniana","Carpinus","caroliniana","Betulaceae",4.05,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_1",41.805695,-72.234322,NA,2017,2017-07-17,"Acer rubrum","Acer","rubrum","Aceraceae",4,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_10_1",41.805695,-72.234322,NA,2017,2017-07-17,"Ostrya virginiana","Ostrya","virginiana","Betulaceae",5.8,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_7_1",41.806381,-72.234871,NA,2017,2017-07-17,"Quercus palustris","Quercus","palustris","Fagaceae",44,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_7_1",41.806381,-72.234871,NA,2017,2017-07-17,"Acer saccharum","Acer","saccharum","Aceraceae",3.9,NA,"yes",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_7_1",41.806381,-72.234871,NA,2017,2017-07-17,"Acer rubrum","Acer","rubrum","Aceraceae",27.5,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_7_1",41.806381,-72.234871,NA,2017,2017-07-17,"Picea glauca","Picea","glauca","Pinaceae",27.55,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_7_1",41.806381,-72.234871,NA,2017,2017-07-17,"Picea glauca","Picea","glauca","Pinaceae",27,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_7_1",41.806381,-72.234871,NA,2017,2017-07-17,"Betula lenta","Betula","lenta","Betulaceae",21.4,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_7_1",41.806381,-72.234871,NA,2017,2017-07-17,"Quercus rubra","Quercus","rubra","Fagaceae",27,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_7_2",41.806381,-72.234871,NA,2017,2017-07-17,"Fraxinus americana","Fraxinus","americana","Oleaceae",36.05,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_7_2",41.806381,-72.234871,NA,2017,2017-07-17,"Betula lenta","Betula","lenta","Betulaceae",38.3,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_7_2",41.806381,-72.234871,NA,2017,2017-07-17,"Betula lenta","Betula","lenta","Betulaceae",10.95,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_7_2",41.806381,-72.234871,NA,2017,2017-07-17,"Betula lenta","Betula","lenta","Betulaceae",28,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_7_2",41.806381,-72.234871,NA,2017,2017-07-17,"Carya glabra","Carya","glabra","Juglandaceae",41.6,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_7_2",41.806381,-72.234871,NA,2017,2017-07-17,"Fagus grandifolia","Fagus","grandifolia","Fagaceae",30.1,NA,"yes",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_7_2",41.806381,-72.234871,NA,2017,2017-07-17,"Betula lenta","Betula","lenta","Betulaceae",22.1,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_7_2",41.806381,-72.234871,NA,2017,2017-07-17,"Carpinus caroliniana","Carpinus","caroliniana","Betulaceae",2.2,NA,"yes",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_4",41.806828,-72.235229,NA,2017,2017-07-17,"Acer saccharum","Acer","saccharum","Aceraceae",3.4,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_4",41.806828,-72.235229,NA,2017,2017-07-17,"Carya glabra","Carya","glabra","Juglandaceae",35.65,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_4",41.806828,-72.235229,NA,2017,2017-07-17,"Betula lenta","Betula","lenta","Betulaceae",22.3,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_4",41.806828,-72.235229,NA,2017,2017-07-17,"Acer saccharum","Acer","saccharum","Aceraceae",2.4,NA,"yes",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_4",41.806828,-72.235229,NA,2017,2017-07-17,"Betula lenta","Betula","lenta","Betulaceae",12,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_4",41.806828,-72.235229,NA,2017,2017-07-17,"Acer saccharum","Acer","saccharum","Aceraceae",6.75,NA,"no",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_4",41.806828,-72.235229,NA,2017,2017-07-17,"Acer saccharum","Acer","saccharum","Aceraceae",2.6,NA,"yes",NA
"ST","WWS",14.958,"small",0.506,4.078,0.582,3.264,"no",0.415,0.176,"ST_WWS_4",41.806828,-72.235229,NA,2017,2017-07-17,"Acer saccharum","Acer","saccharum","Aceraceae",6.2,NA,"no",NA
